trigger_class,rt,prior,workerid,slide_number_in_experiment,question_type,prior_fact,Answer.time_in_minutes,trigger,short_trigger,content,response,block,american,comments,language,age,trial
MC,791,NA,1,39,ai,Many children like ice cream,1.5171833333333333,MC,MC,kids,0.37,block2,Yes,i like this study,english,25,34
C,792,high_prior,1,40,ai,Josh is a 5-year old boy,1.5171833333333333,see,see,josh,0.32999999999999996,block2,Yes,i like this study,english,25,35
MC,767,NA,1,41,ai,Pizza is sold at the pizzeria,1.5171833333333333,MC,MC,pizza,0.38,block2,Yes,i like this study,english,25,36
C,727,high_prior,1,42,ai,Mia is a college student,1.5171833333333333,be_right,be_right,mia,0.44999999999999996,block2,Yes,i like this study,english,25,37
C,1375,low_prior,1,43,ai,Zoe is 5 years old,1.5171833333333333,discover,discover,zoe,0.35,block2,Yes,i like this study,english,25,38
MC,759,NA,1,44,ai,Ballet is a type of dance,1.5171833333333333,MC,MC,ballet,0.43999999999999995,block2,Yes,i like this study,english,25,39
C,1347,low_prior,1,45,ai,Charley lives in Korea,1.5171833333333333,pretend,pretend,charley,0.36,block2,Yes,i like this study,english,25,40
MC,1384,NA,1,46,ai,Hats are worn on the head,1.5171833333333333,MC,MC,hat,0.44999999999999996,block2,Yes,i like this study,english,25,41
C,1223,low_prior,1,47,ai,Sophia is a high end fashion model,1.5171833333333333,confess,confess,sophia,0.35,block2,Yes,i like this study,english,25,42
C,825,high_prior,1,48,ai,Jackson is training for a marathon,1.5171833333333333,reveal,reveal,jackson,0.41000000000000003,block2,Yes,i like this study,english,25,43
C,2990,low_prior,1,49,ai,Jayden doesn't have a driver's license,1.5171833333333333,confirm,confirm,jayden,0.43999999999999995,block2,Yes,i like this study,english,25,44
C,977,high_prior,1,50,ai,Isabella is from Argentina,1.5171833333333333,demonstrate,demonstrate,isabella,0.38,block2,Yes,i like this study,english,25,45
C,1304,high_prior,1,51,ai,Emily has been saving for a year,1.5171833333333333,say,say,emily,0.4,block2,Yes,i like this study,english,25,46
C,2647,low_prior,1,52,ai,Owen lives in New Orleans,1.5171833333333333,be_annoyed,be_annoyed,owen,0.35,block2,Yes,i like this study,english,25,47
C,871,low_prior,1,53,ai,Danny is a diabetic,1.5171833333333333,admit,admit,danny,0.4,block2,Yes,i like this study,english,25,48
C,1327,low_prior,1,54,ai,Tony has been sober for 20 years,1.5171833333333333,hear,hear,tony,0.30000000000000004,block2,Yes,i like this study,english,25,49
C,792,high_prior,1,55,ai,Olivia works the third shift,1.5171833333333333,suggest,suggest,olivia,0.41000000000000003,block2,Yes,i like this study,english,25,50
C,1224,low_prior,1,56,ai,Grace hates her sister,1.5171833333333333,know,know,grace,0.43000000000000005,block2,Yes,i like this study,english,25,51
C,776,high_prior,1,57,ai,Frank has always wanted a pet,1.5171833333333333,think,think,frank,0.37,block2,Yes,i like this study,english,25,52
MC,14377,NA,2,5,projective,Hats are worn on the head,9.838733333333334,MC,MC,hat,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,1
MC,7966,NA,2,6,projective,Pizza is sold at the pizzeria,9.838733333333334,MC,MC,pizza,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,2
C,7603,high_prior,2,7,projective,Sophia is a hipster,9.838733333333334,hear,hear,sophia,1,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,3
C,15140,low_prior,2,8,projective,Owen lives in New Orleans,9.838733333333334,prove,prove,owen,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,4
C,8597,high_prior,2,9,projective,Tony really likes to party with his friends,9.838733333333334,confess,confess,tony,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,5
C,7637,high_prior,2,10,projective,Danny loves cake,9.838733333333334,be_annoyed,be_annoyed,danny,1,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,6
C,5951,low_prior,2,11,projective,Mary is a middle school student,9.838733333333334,suggest,suggest,mary,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,7
C,11927,low_prior,2,12,projective,Isabella is a vegetarian,9.838733333333334,think,think,isabella,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,8
C,9100,low_prior,2,13,projective,Charley lives in Korea,9.838733333333334,admit,admit,charley,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,9
C,11011,high_prior,2,14,projective,Josie loves France,9.838733333333334,pretend,pretend,josie,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,10
MC,6148,NA,2,15,projective,Many children like ice cream,9.838733333333334,MC,MC,kids,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,11
C,10239,low_prior,2,16,projective,Jon lives 10 miles away from work,9.838733333333334,inform,inform,jon,1,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,12
MC,3993,NA,2,17,projective,Muffins are sold at the bakery,9.838733333333334,MC,MC,muffins,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,13
C,8081,low_prior,2,18,projective,Olivia has two small children,9.838733333333334,confirm,confirm,olivia,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,14
C,13611,low_prior,2,19,projective,Frank is allergic to cats,9.838733333333334,discover,discover,frank,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,15
C,7333,high_prior,2,20,projective,Josh is a 5-year old boy,9.838733333333334,be_right,be_right,josh,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,16
MC,3490,NA,2,21,projective,Ballet is a type of dance,9.838733333333334,MC,MC,ballet,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,17
MC,6892,NA,2,22,projective,Garages are used to store cars and other things,9.838733333333334,MC,MC,garage,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,18
C,14924,low_prior,2,23,projective,Emily never has any money,9.838733333333334,acknowledge,acknowledge,emily,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,19
C,6209,high_prior,2,24,projective,Jayden's car is in the shop,9.838733333333334,reveal,reveal,jayden,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,20
C,6270,low_prior,2,25,projective,Zoe is 5 years old,9.838733333333334,say,say,zoe,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,21
C,6349,high_prior,2,26,projective,Jackson is training for a marathon,9.838733333333334,announce,announce,jackson,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,22
C,6519,high_prior,2,27,projective,Julian is Cuban,9.838733333333334,know,know,julian,1,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,23
C,9430,high_prior,2,28,projective,Grace loves her sister,9.838733333333334,establish,establish,grace,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,24
C,5959,high_prior,2,29,projective,Mia is a college student,9.838733333333334,demonstrate,demonstrate,mia,0,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,25
C,5730,low_prior,2,30,projective,Emma is in first grade,9.838733333333334,see,see,emma,1,block1,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,26
C,40567,low_prior,2,32,ai,Emily never has any money,9.838733333333334,acknowledge,acknowledge,emily,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,27
C,15231,low_prior,2,33,ai,Mary is a middle school student,9.838733333333334,suggest,suggest,mary,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,28
C,5368,low_prior,2,34,ai,Isabella is a vegetarian,9.838733333333334,think,think,isabella,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,29
C,5685,high_prior,2,35,ai,Josie loves France,9.838733333333334,pretend,pretend,josie,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,30
C,7140,low_prior,2,36,ai,Charley lives in Korea,9.838733333333334,admit,admit,charley,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,31
C,13002,high_prior,2,37,ai,Josh is a 5-year old boy,9.838733333333334,be_right,be_right,josh,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,32
C,9178,high_prior,2,38,ai,Grace loves her sister,9.838733333333334,establish,establish,grace,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,33
C,10802,high_prior,2,39,ai,Sophia is a hipster,9.838733333333334,hear,hear,sophia,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,34
C,10271,high_prior,2,40,ai,Mia is a college student,9.838733333333334,demonstrate,demonstrate,mia,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,35
MC,8874,NA,2,41,ai,Muffins are sold at the bakery,9.838733333333334,MC,MC,muffins,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,36
C,6623,high_prior,2,42,ai,Jackson is training for a marathon,9.838733333333334,announce,announce,jackson,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,37
MC,7546,NA,2,43,ai,Ballet is a type of dance,9.838733333333334,MC,MC,ballet,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,38
C,10254,high_prior,2,44,ai,Tony really likes to party with his friends,9.838733333333334,confess,confess,tony,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,39
C,15420,low_prior,2,45,ai,Emma is in first grade,9.838733333333334,see,see,emma,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,40
C,4836,low_prior,2,46,ai,Jon lives 10 miles away from work,9.838733333333334,inform,inform,jon,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,41
C,9590,high_prior,2,47,ai,Julian is Cuban,9.838733333333334,know,know,julian,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,42
MC,2548,NA,2,48,ai,Garages are used to store cars and other things,9.838733333333334,MC,MC,garage,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,43
C,3684,high_prior,2,49,ai,Danny loves cake,9.838733333333334,be_annoyed,be_annoyed,danny,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,44
C,8986,low_prior,2,50,ai,Zoe is 5 years old,9.838733333333334,say,say,zoe,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,45
MC,6268,NA,2,51,ai,Pizza is sold at the pizzeria,9.838733333333334,MC,MC,pizza,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,46
MC,4452,NA,2,52,ai,Hats are worn on the head,9.838733333333334,MC,MC,hat,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,47
MC,5752,NA,2,53,ai,Many children like ice cream,9.838733333333334,MC,MC,kids,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,48
C,5411,low_prior,2,54,ai,Olivia has two small children,9.838733333333334,confirm,confirm,olivia,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,49
C,9926,low_prior,2,55,ai,Frank is allergic to cats,9.838733333333334,discover,discover,frank,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,50
C,8324,low_prior,2,56,ai,Owen lives in New Orleans,9.838733333333334,prove,prove,owen,1,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,51
C,6417,high_prior,2,57,ai,Jayden's car is in the shop,9.838733333333334,reveal,reveal,jayden,0,block2,Yes,"Interesting study. I feel like a lot of the questions can be interpreted in different ways, where both a yes or no can be given.",English,26,52
MC,9247,NA,3,5,ai,Hats are worn on the head,8.221016666666667,MC,MC,hat,0.010000000000000009,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,1
MC,6264,NA,3,6,ai,Garages are used to store cars and other things,8.221016666666667,MC,MC,garage,0,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,2
C,9136,low_prior,3,7,ai,Owen lives in New Orleans,8.221016666666667,reveal,reveal,owen,0.73,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,3
C,9145,low_prior,3,8,ai,Jon lives 10 miles away from work,8.221016666666667,think,think,jon,1,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,4
C,11480,low_prior,3,9,ai,Emily never has any money,8.221016666666667,be_annoyed,be_annoyed,emily,0.99,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,5
C,6304,high_prior,3,10,ai,Jayden's car is in the shop,8.221016666666667,know,know,jayden,0.99,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,6
C,9705,high_prior,3,11,ai,Julian is Cuban,8.221016666666667,inform,inform,julian,1,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,7
C,8864,low_prior,3,12,ai,Charley lives in Korea,8.221016666666667,confirm,confirm,charley,0.17000000000000004,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,8
C,12936,low_prior,3,13,ai,Sophia is a high end fashion model,8.221016666666667,announce,announce,sophia,0.45999999999999996,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,9
C,5872,low_prior,3,14,ai,Jackson is obese,8.221016666666667,see,see,jackson,0.96,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,10
MC,6752,NA,3,15,ai,Many children like ice cream,8.221016666666667,MC,MC,kids,0,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,11
C,6335,high_prior,3,16,ai,Grace loves her sister,8.221016666666667,be_right,be_right,grace,0.17000000000000004,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,12
C,10929,high_prior,3,17,ai,Olivia works the third shift,8.221016666666667,confess,confess,olivia,0.47,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,13
C,7272,low_prior,3,18,ai,Zoe is 5 years old,8.221016666666667,admit,admit,zoe,0.49,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,14
C,7240,high_prior,3,19,ai,Danny loves cake,8.221016666666667,hear,hear,danny,0.65,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,15
C,8432,high_prior,3,20,ai,Isabella is from Argentina,8.221016666666667,discover,discover,isabella,0.51,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,16
C,10776,high_prior,3,21,ai,Mary is taking a prenatal yoga class,8.221016666666667,prove,prove,mary,0.55,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,17
C,13448,high_prior,3,22,ai,Emma is in law school,8.221016666666667,suggest,suggest,emma,0.42000000000000004,block1,Yes,"Enjoyed this HIT, Thanks!",english,54,18
